ZNF74,ZNF530
ZNF267,ZNF730
ZNF566,ZNF93
ZNF529,ZFP90
ZNF284,ZNF479
ZNF749,ZNF445
ZNF17,ZNF74
ZNF555,ZNF267
ZNF75D,ZNF566
ZNF197,ZNF529
ZFP69B,ZNF284
ZFP69,ZNF749
ZNF626,ZNF17
ZNF793,ZNF555
ZNF383,ZNF75D
ZNF669,ZNF197
ZNF548,ZFP69B
ZNF567,ZFP69
ZNF573,ZNF626
ZNF527,ZNF793
ZNF33A,ZNF383
ZNF79,ZNF669
ZNF681,ZNF548
ZNF766,ZNF567
ZNF565,ZNF573
ZNF765,ZNF527
ZNF124,ZNF33A
ZNF605,ZNF79
ZNF799,ZNF681
ZNF782,ZNF766
ZNF846,ZNF565
ZNF136,ZNF765
ZKSCAN5,ZNF124
ZNF33B,ZNF605
ZNF431,ZNF799
ZNF418,ZNF782
ZNF585A,ZNF846
ZNF429,ZNF136
ZNF100,ZKSCAN5
ZNF398,ZNF33B
ZNF441,ZNF431
ZNF257,ZNF418
ZNF785,ZNF585A
ZNF786,ZNF429
ZNF675,ZNF100
ZNF860,ZNF398
ZNF695,ZNF441
ZNF615,ZNF257
ZNF433,ZNF785
ZNF81,ZNF786
ZNF780A,ZNF675
ZNF181,ZNF860
ZNF44,ZNF695
ZNF790,ZNF615
ZNF823,ZNF433
ZNF311,ZNF81
ZNF273,ZNF780A
ZNF84,ZNF181
ZNF667,ZNF44
ZNF649,ZNF790
ZNF248,ZNF823
ZNF334,ZNF311
ZNF485,ZNF273
ZNF442,ZNF84
ZNF26,ZNF667
ZNF69,ZNF649
ZNF480,ZNF248
ZNF587,ZNF334
ZNF808,ZNF485
ZNF28,ZNF442
ZNF627,ZNF26
ZNF789,ZNF69
ZNF534,ZNF480
ZNF525,ZNF587
ZNF805,ZNF808
ZNF468,ZNF28
ZNF616,ZNF627
ZFP57,ZNF789
ZNF783,ZNF534
ZNF425,ZNF525
ZNF611,ZNF805
ZNF254,ZNF468
ZNF90,ZNF616
ZNF891,ZFP57
ZNF705G,ZNF783
ZNF880,ZNF425
ZNF492,ZNF611
ZNF879,ZNF254
ZNF736,ZNF90
ZNF737,ZNF891
ZNF324B,ZNF705G
ZNF564,ZNF880
ZNF674,ZNF492
ZNF550,ZNF879
ZNF432,ZNF736
ZNF10,ZNF737
ZNF486,ZNF324B
ZNF225,ZNF564
